,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBSG dataÿ       Release               February 2015,6760 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,Rating,Software Age,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Sizing,Sizing,Sizing,Sizing,Effort,Effort,Effort,Productivity,Productivity,Productivity,Other Metrics,Other Metrics,Other Metrics,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Quality Delivered,Quality Delivered,Quality Delivered,Quality Delivered,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,Project Attributes,Project Attributes,Project Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Other Size,Other Size,Other Size
12453,B,A,2002,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;,New Development,MR,4GL,SQL,IFPUG 4+,426,M2,426,,2110,2110,1962,5.0,5.0,4.6,,193.6,,2.2,0.00,13-Sep-2002,Planning;Specification;Build;Test;,,,,,,,1962,,,,,Don't Know;,,,,,,,No,,,Don't Know,,,,,,,DOA;,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MR;,SQL;C-Shell;Access;,Solaris 8.0;Windows  NT4.0;,,,SYBASE ASE 12.0.0.3 for UNIX;,,,,,,,,,,,,,No,Yes,Combined Developed/Purchased;,,,,,,,,Staff hours (recorded),1,,,,100%,under 5%,94,25,22,255,30,426,,,,,,,,,
12457,B,B,2005,Insurance,Insurance;,,,Enhancement,Multi,4GL,,FiSMA,102,M1,,,990,990,990,9.7,9.7,9.7,,,,10.0,,11-Nov-2005,,,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12459,B,B,2012,Communication,Telecommunications;,Business Application,Financial transaction process/accounting;,Enhancement,Multi,4GL,ABAP,IFPUG 4+,72,S,72,,213,213,213,3.0,3.0,3.0,,12.2,,5.9,,16-Jul-2012,,,,,,,,213,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,ABAP;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12465,B,,2004,Communication,Communications;,,,Enhancement,MR,3GL,COBOL,LOC,,,,,685,685,685,,,,,,,6.0,0.00,27-Sep-2004,Partial Life Cycle;,33,33,256,162,,3,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM AS400 Series;,COBOL / COBOL II / COBOL III 95%;AS / 400 10%;SQL 5%;,AS/400;,,,AS/400 DBMS;,,,,,,,,,,,,,,Yes,,,,,0,,,,Staff hours (recorded),1,2,2,,,,,,,,,,,,,,,,"2,761",0% of recorded;,
12468,C,,2008,Manufacturing,Aerospace / Automotive;,Real-Time Application,Software for machine control;,Enhancement,,3GL,C,COSMIC,2,XXS,,,163,163,104,81.5,81.5,52.0,,0.1,,24.0,,17-Nov-2008,,,,,52,52,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSMIC 3.0,COSMIC 3.0;,,,C;,,,,,,,,,,,,,,,,,,,,,,,,,DE   (Mobile or Device Embedded),,,1,,,,,15-20%,,,,,,0,2,0,0,0,2,0,,,
12470,B,B,2013,Communication,Telecommunications;,Business Application,Logistic or supply planning & control;,Enhancement,Multi,3GL,Java,IFPUG 4+,80,S,80,,123,123,123,1.5,1.5,1.5,,61.5,,1.3,,01-Apr-2013,,,,,,,,123,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,Java;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12473,B,B,2013,Communication,Telecommunications;,Business Application,Online. eSales;,Enhancement,Multi,,,IFPUG 4+,71,S,71,,95,95,95,1.3,1.3,1.3,,16.1,,4.4,,09-Sep-2013,,,,,,,,95,,,,,,,,,,,,,,Multi-tier,,,,,,Web,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12481,B,B,2009,Manufacturing,Manufacturing;,Business Application,Customer management;,Enhancement,MR,3GL,COBOL,IFPUG 4+,126,M1,126,,,657,604,,5.2,4.8,0.0,42.0,,3.0,,29-Oct-2009,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,Customer Relationship;,,,,,,,,,Stand alone,No,,,Mainframe;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,COBOL;,OS/400;,,,DB2;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,"Customer & users 1 org, team in another;Purchased;",,,Staff hours (recorded),3,,,,,,,,,,,,,,,,,,,,
12483,A,B,1996,Insurance,Insurance;,,GUI Interface Application;,Enhancement,PC,,,IFPUG 4+,760,M2,760,,,14430,14430,,19.0,19.0,,50.7,,15.0,0.00,Feb-1996,Planning;Specification;Build;Test;Implement;,,,,,,,,,,,,Insurance;,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,IFPUG 4,IFPUG 4;,Combined all tables into a single file;,PC;,,,,Don't Know,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,In-house for internal business unit;,,,Staff hours (derived),2,,,,,,,,,,,,,,,,,,,,
12488,B,B,2000,Communication,Communications;,Business Application,Transaction/Production System;,Re-development,PC,4GL,Oracle,NESMA,91,S,91,,939,1467,939,10.3,16.1,10.3,0.0,45.5,,2.0,,Sep-2000,Build;Test;,,,,,,,939,0,0,0,0,,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,Manual;,NESMA,NESMA;,Combined all tables into a single file;,Minicomputer;,Oracle;,UNIX HP-UX;,,,,,,,,,,,,,,,,,,,,,,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,"1,880",Less than 5% of recorded;,
12494,B,A,1999,Communication,Communications;,,,Enhancement,,,,IFPUG 4+,295,M1,327,1.11,4754,4754,3946,16.1,16.1,12.1,,19.7,2.5,15.0,,Jul-1999,Specification;Build;Test;,,1139,,1906,901,,0,,,,,Telecommunications;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.0 & Addendum to existing standards,Addendum to existing standards;,Combined all tables into a single file;,,,,,,,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,Outsourced for internal business unit;,,,Staff hours (recorded),1,5-8,8,8,100%,,244,0,24,27,0,155,140,0,,,,,,,
12498,A,A,2006,Service Industry,Community Services;,Business Application,Financial transaction process/accounting;,New Development,Multi,4GL,ABAP,IFPUG 4+,396,M2,396,1.00,6051,6051,6051,15.3,15.3,15.3,,24.8,2.5,16.0,0.00,01-May-2006,Planning;Specification;Design;Build;Test;Implement;,,,,,,,6051,,,,,,,,,,,,,,Client server,Yes,Run a computer-human interface;Data retrieval & presentation;Web/HTML browser;,Database server;File &/or print server;HTML/web server;Security/authentication;,,,Web,,,,,,,,,Budget;Project Schedule;Quality Plan;Risk Analysis;Software Development Plan;Vision/Objectives;,Requirements Specification;Functional Specification;System Analysis Report;Prototype;,,System Architecture Spec;Technical Specification;Technical Prototypes;Component Designs;Detailed Design Documents;,Unified Modelling Language (UML);,Source Code/Objects;Database Objects;,Software Integration;System Integration;,Test Plans/Designs;Incident/Defect Lists;,"Performance, Stress or Load Testing;",Installation Procedures;End user Manual or Help;End user Training Material;,Acceptance/Beta Testing;,Manual supported by a tool;,IFPUG 4.2,IFPUG 4.2;,IFPUG rules;,,ABAP;,SAP;,SAP R/3;,ABAP Workbench;,DB2;,,SAP Portal;,,,,Java;,,,,,,,,Yes,Combined Developed/Purchased;,,,,,"Customer & users 1 org, team in another;",,,Recorded work on project tasks each day,1,9-14,10,10,,,140,14,132,59,51,396,,,,,,,,,
12504,B,B,2005,,,,,New Development,Multi,3GL,Java,IFPUG 4+,277,M1,277,1.00,4034,4034,3348,14.6,14.6,12.1,,40.1,,6.9,,,Specification;Design;Build;Test;,,,,,,,3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,,J2EE;Oracle;,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,277,,,,,,,,,
12506,B,B,2004,Insurance,Insurance;,,,Enhancement,Multi,4GL,,FiSMA,1212,L,,,5940,5940,5940,4.9,4.9,4.9,,,,13.0,0.40,03-Dec-2004,,,,,,,,5940,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,Functional sizing;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,>50,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12515,B,C,2003,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Client Server;,Enhancement,Multi,4GL,,IFPUG 4+,,XS,18,,140,140,140,,,7.8,,,,0.90,0.00,30-Oct-2003,,,,,,,,140,,,,,,,,,,,,,,Client server,Yes,,,,Client Server;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Code data not counted;,Client/server;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12520,B,B,2013,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,5,XXS,5,,1433,1433,1433,286.6,286.6,286.6,,0.5,0.0,11.0,,28-Jan-2013,Planning;Specification;Design;Build;Test;Implement;Proj Management;,68,165,137,252,403,76,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,31-40,33,,,,,,,,,,,,,,,,,,
12529,B,A,2002,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;,Enhancement,MF,4GL,Oracle,IFPUG 4+,103,M1,115,1.12,673,673,673,6.5,6.5,5.9,,,,,,Sep-2002,,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,,Oracle;,UNIX;,,,Interactive;,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12530,A,A,2000,Communication,Communications;,Business Application,Transaction/Production System;,Enhancement,MR,3GL,C++,IFPUG 4+,556,M2,617,1.11,3793,3793,3148,6.8,6.8,5.1,,79.4,7.9,7.0,,Dec-2000,Specification;Build;Test;,,862,,1158,1128,,0,,,,,Telecommunications;,,,,,,,,,Client server,Yes,,,Unix;,"Client: presentation, processing, data;",,,Data Modelling;Prototyping;Object Oriented Analysis;Object Oriented Design;Regression Testing;Full Life cycle Testing;,,,,,,Yes,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.0 & Addendum to existing standards,Addendum to existing standards;,Counted each table as a logical file;,HP 9000;,C++;,UNIX;,,,OBJECTSTOR;,,,,,,,,,,,,,,No,,4,3,,,Outsourced for internal business unit;,,,Staff hours (recorded),1,9-14,10,10,100%,,184,136,103,133,0,377,179,0,,,,,,,
12532,A,A,2008,Communication,Communications;,,Telecommunications;,Enhancement,MR,3GL,C,IFPUG 4+,114,M1,140,1.23,1622,1622,1622,14.2,14.2,11.6,0.0,11.4,1.6,10.0,,15-Nov-2008,,137,211,309,583,364,18,0,0,0,,0,,Software-CMM Level 5,CMMI Level 5,,ISO 9002 ISO 9001:2000,,,,,Multi-tier with web public interface,Yes,Run a computer-human interface;Business logic or rule processing;Web/HTML browser;,Database server;FTP server;HTML/web server;Security/authentication;,,,Web,,Business Area Modelling;Process Modelling;,,,,,,,Feasibility Study;Project Schedule;Quality Plan;Resource Plan;Risk Analysis;Software Development Plan;,Requirements Specification;External/System Interface Specifications;,Specification Review;,Detailed Design Documents;,Structured Design;Design Review/Inspection;Useability Review/Testing;,Source Code/Objects;Unit Test Plans/Designs;,Unit Testing;Code Review/Inspection;Software Integration;,Test Plans/Designs;Test Data;,"Create & Run Automated Testing;Performance, Stress or Load Testing;Regression Testing;",Installation Procedures;Release Description/Notes;Installation Software Utility;End user Manual or Help;Operation/Admin. Manual;,Prepare for Delivery/Installation;Install Software for Users;Acceptance/Beta Testing;Provide User Support;,Wholly manual;,IFPUG 4.2,IFPUG 4.2;,Counted each table as a logical file;,,C;,SOLARIS;,"Shell scripts, perl scripts;",gdb;,daytona;,,CGI programming;,,yoix for ARCS GUI;,,,,,,,,,,Yes,Developed In-house;,,1,250,250,"Customer, users, team in different orgs;",,,Recorded total hours each day or week,1,5-8,7,2.7,96%,,19,69,4,22,0,44,70,0,,,,,,,
12535,B,C,2006,,,Business Application,Financial transaction process/accounting;,New Development,Multi,3GL,Java,IFPUG 4+,,M1,154,,1047,1047,1047,,,6.8,,,,4.5,,2006,,,,,,,,1047,,,,,,,,,,,,,,,,,,,,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,Java / similar;,,,,Interactive;,,,,Web e-bus;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12536,B,C,2006,Communication,Communications;,Real-Time Application,Embedded system/real-time application;,Enhancement,Multi,3GL,,IFPUG 4+,,M1,172,,2551,2551,2551,,,14.8,,,,,,2006,,,,,,,,2551,,,,,,,,,,,,,,Client server,Yes,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,3GL;,,,,Interactive;,,,,Client/server;,,,,,,,,,,Yes,,,,,,,DE   (Mobile or Device Embedded),,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12540,B,A,2000,Manufacturing,Manufacturing;,Business Application,Management Information System;,New Development,MF,4GL,Visual Basic,IFPUG 4+,335,M2,342,1.02,218,2028,2028,0.7,6.1,5.9,0.0,41.9,6.0,8.0,1.0,Feb-2000,Planning;Specification;Build;Test;Implement;,,,,,,,218,0,0,0,0,Manufacturing;,Software-CMM Level 2,,,,,,,,Multi-tier,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,IBM Mainframe(All Types) IBM PC or Equivalent;IBM PC or Equivalent;,Visual Basic;PL/I 40%;,MS Windows NT;MVS;,,,IMS;MS SQL Server;,,,,Screen Control: CICS/MS Windows(All)  Network Operating System: SNA/Windows NT;,,,,,,,,,Yes,Yes,,,,,8,,,,Staff hours (recorded),4,5-8,7,,,,,,,,,,,,,,,,,,
12546,B,B,2005,Communication,Communications;,Mathematically-Intensive Application,relatively complex application;,Enhancement,MF,3GL,,IFPUG 4+,17,XS,17,,238,238,238,14.0,14.0,14.0,,,,,,first Quarter 2005,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG 4.2,IFPUG 4.2;,Code data not counted;,Mainframe;,3GL;,,,,Batch;,,,,,,,,,,,,,,Yes,,,,,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12550,B,B,2004,Insurance,Insurance;,,,New Development,MF,3GL,PL/I,FiSMA,955,M2,,,5280,5280,5280,5.5,5.5,5.5,,,,7.0,1.0,08-Jul-2004,,,,,,,,5280,,,,,,,,,,,,,,,,,,,,,,Object Oriented;Effort estimates;Functional sizing;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Mainframe;,PL/I;,,,,,,,,,,,,,,,,,Yes,Yes,,,,>50,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12551,C,B,1998,Electronics & Computers,Electronics;,,Idea/Patent Information System;,New Development,,4GL,Visual Basic,IFPUG 4+,80,S,80,,1280,1280,1280,16.0,16.0,16.0,,26.7,,3.0,0.00,,Planning;Specification;Build;Test;Implement;,160,320,,320,320,160,0,,,,,Research & Development;,,,,,,,No,,Client server,Yes,,,LAN Based;,Client: presentation; Server: processing;,,,Data Modelling;Testing-Oriented Design;,,,,,,,,,,,,,,,,,,,not given,,,,Visual Basic;,,,Don't Know,,,,,,,,,,,,,,Don't Know,No,,,,,,External for external business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12552,C,,1999,Communication,Communications;,Real-Time Application,Telecom & network management;,New Development,PC,3GL,C++,COSMIC,837,M2,,,2500,2778,2500,3.0,3.3,3.0,,,,,,,Specification;Build;Test;Implement;,,,,,,,2500,,,,,Telecommunications;,,,,,,,,,Client server,Yes,,,LAN Based;,,,,Prototyping;Object Oriented Design;,,,,,,Yes,,,,,,,,,,,,,FFP 1.0,FFP (Full Function Point) version 1.0;,,IBM Compatible PC;,C++;,Windows NT;,,Don't Know,,,,,,,,,,,,,,No,Don't Know,,,,,,External for external business unit;,,,,1,5-8,7,,,Don't Know,,,,,,,,,,,,,,,
12554,B,B,1999,Manufacturing,Manufacturing;,,,New Development,PC,3GL,C++,FiSMA,80,S,,,144,144,144,1.8,1.8,1.8,,,,8.0,3.0,14-Jan-1999,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,Prototyping;,,,,,,Yes,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,PC-Network;,C++;,,,,,,,,,,,,,,,,,,Yes,,,,1,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12556,B,A,2001,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,New Development,Multi,4GL,Visual Basic,IFPUG 4+,3968,XL,3968,,19075,19075,10682,4.8,4.8,2.7,,661.3,,6.0,0.00,30-Sep-2001,Planning;Build;,,,,,,,10682,,,,,Don't Know;,,,,,,,No,,Multi-tier / Client server,Yes,,,,C/S;,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,PC;,VB6.0;,Windows NT Server4.0;,,,Oracle 8i;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,100%,under 5%,839,932,797,756,644,3968,,,,,,,,,
12561,B,B,1996,Medical & Health Care,Medical and Health Care;,Business Application,Healthcare;,New Development,PC,4GL,DELPHI,IFPUG 4+,386,M2,386,,702,702,702,1.8,1.8,1.8,,96.5,48.3,4.0,,30-Apr-1996,,,,,,,,702,,,,,,,,,,,,,,,,,,,,,Rapid Application Development (RAD);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,Delphi;,,,,,,,,,,,,,,,,,,,,,,,,,,,Timesheets,1,2,2,,,,,,,,,386,,,,,,,,,
12562,B,B,2004,,,,,Enhancement,MR,3GL,C++,IFPUG 4+,30,S,30,,441,441,441,14.7,14.7,14.7,,5.7,,5.3,,28-Jun-2004,From Feasibility to Implementation;,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Midrange;,C++;,,,,,,,,,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,,,
12565,B,B,2007,Insurance,Insurance;,,,Enhancement,Multi,ApG,COOL:Gen,FiSMA,333,M2,,,5063,5063,4607,15.2,15.2,13.8,,,,9.0,0.13,26-Mar-2007,Specification;Design;Build;Test;Implement;,,954,1590,1136,179,748,0,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,Risk analysis;,,Test planning;,,Functional sizing;,,Effort estimates;,,Reviews;,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,COOL:Gen;,,,,,,,,,,,,,,,,,Yes,Yes,,,,>50,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
12573,B,A,2000,Manufacturing,Manufacturing;,Business Application,Management system;,New Development,PC,3GL,PL/SQL,IFPUG 4+,1216,L,1216,,2228,2228,1671,1.8,1.8,1.4,,357.6,,3.4,0.00,14-Jul-2000,Planning;Specification;Build;,,,,,,,1671,,,,,Don't Know;,,,,,,,No,,,,,,,Web;,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,PC;,PL/SQL;,Windows NT 4.0;,,,Oracle;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (derived),1,,,,100%,under 5%,233,253,81,458,191,1216,,,,,,,,,
12579,A,A,1999,Electronics & Computers,Computers & Software;,Business Application,Management Information System;,New Development,,3GL,ABF,IFPUG 4+,177,M1,173,0.98,10501,10501,8716,59.3,59.3,50.4,,14.8,0.7,12.0,,Jun-1999,Build;Test;Implement;,,1762,,2351,4603,,0,,,,,Telecommunications;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.0,Addendum to existing standards;,Combined all tables into a single file;,,NetDynamics;ABF;,,,,,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,In-house for external business unit;,,,Staff hours (recorded),1,15-20,20,20,100%,,0,78,10,17,72,177,,,,,,,,,
12581,C,,2010,Service Industry,Airport;,Mathematically-Intensive Application,Airport Weather Observation Systems;Meteorological  events detection;,New Development,Multi,3GL,Java,COSMIC,214,M1,,,8320,9170,9170,38.9,42.9,42.9,18.7,6.5,1.6,33.0,10.0,05-Mar-2010,,,,,,,,8320,2,2,,4,,,CMMI Level 3,,,,,,,Client server,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,COSMIC 3.0.1,COSMIC 3.0.1;,,,Java 1.4;,Linux/Redhat 5 (server);MS-Windows 2000 (client);,Eclipse;,Eclipse;,MySQL 5;,,,,,,,,,,,,,,,,,,,,,MR   (Mid range),,,4,3-4,4,,,,,,,,,214,,,53,59,58,44,,,
12582,B,B,2005,,,,,New Development,Multi,3GL,Java,IFPUG 4+,21,XS,21,1.00,925,925,768,44.0,44.0,36.6,,1.7,,12.3,,,Specification;Design;Test;,,,,,,,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,,J2EE;,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,21,,,,,,,,,
12583,A,A,2000,Insurance,Insurance;,Business Application,Transaction/Production System;,Enhancement,MF,3GL,PL/I,IFPUG 4+,265,M1,286,1.08,1464,1464,1464,5.5,5.5,5.1,18.9,44.2,5.5,6.0,0.00,Mar-2000,Planning;Specification;Build;Test;Implement;,120,288,,592,372,92,0,5,0,0,5,Insurance;,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,IFPUG 4,IFPUG 4;,Counted logically only if maintained by user;,IBM MAINFRAME;,PL/I;TELON;,MVS;,,ABEND-AID;,DB2;SYBASE;,,,,Mainframe reports downloaded to user PC's in Spreadsheets;,,,,,,,,,No,Yes,Developed In-house;,2,1,,,In-house for internal business unit;,,,Staff hours (recorded),1,5-8,8,8,,,45,156,27,37,0,265,0,0,,,,,,,
12586,A,A,1993,Government,Public Administration;,,,New Development,MF,4GL,CSP,Mark II,295,M1,236,0.800,2211,2211,1835,7.5,7.5,7.8,,49.2,12.3,6.0,,Jun-1993,,,629,,599,607,,0,,,,,EPOS;,,,,,,,No,,Stand alone,,,,,,,,,,,,,,,,,,,,,,,,,,,Symons Mark II,Symons Mark II;,,IBM 3090;,CSP;COBOL II;,MVS/ESA;,,,DB2;,,,,,,,,,,,,,,,,,,,,,,,"Mainly Staff Hours (Recorded) with some aspects of ""Productive"" Time Only (Recorded)",1,3-4,4,,,Less than 5% of recorded effort,52.78,63.18,,179.28,,295.24,,,,,,,,,
12596,A,,2003,Insurance,Insurance;,Business Application,Online analysis and reporting;,Enhancement,MF,3GL,PL/I,COSMIC,28,XS,,,279,279,279,10.0,10.0,10.0,35.7,6.5,2.2,4.3,,06-Oct-2003,,13,34,17,70,118,27,0,,1,,1,,,,,,,,,,Client server,Yes,Run a computer-human interface;Business logic or rule processing;Data retrieval & presentation;,Database server;File &/or print server;,,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;Resource Plan;Risk Analysis;,Requirements Specification;User Manual;,Specification Review;,System Architecture Spec;Technical Specification;User Interface Prototype;,Design Review/Inspection;Useability Review/Testing;,Source Code/Objects;Database Objects;Graphics Items/Images;Information/Text Content;,Unit Testing;Code Review/Inspection;,Test Plans/Designs;Test Data;Incident/Defect Lists;,,Installation Procedures;Release Description/Notes;End user Manual or Help;,Prepare for Delivery/Installation;Install Software for Users;Provide User Training;,Wholly manual;,COSMIC 2.2,COSMIC 2.2;,,,PL/I;,MVS;,,No,DB2;,No,No,No,,,ACCESS;,NT;,ACCESS;,No,No,No,,No,Yes,Combined Developed/Purchased;,,1,2,1,"Customer & users 1 org, team in another;",,,Recorded work on project tasks each day,1,3-4,3,1.8,50%,,,,,,,8,20,0,8,12,6,2,,,
